Filename;Time (Seconds);Calls;Lines;Chars
pyquiz_2012-03_thp_c-extension.stats;0.305000;3;6;68
pyquiz_2012-03_thp_c-extension_loop.stats;2.233000;2401353;7;111
pyquiz_2012-03_thp9_zzyield.stats;2.855000;1645151;28;713
pyquiz_2012-03_thpa_precalc.stats;2.890000;1601553;10;145954
pyquiz_2012-03_thp8_dict.stats;3.068000;1657791;9;279
pyquiz_2012-03_thp9_zyield.stats;3.473000;2444952;35;915
pyquiz_2012-03_thp9_cute.stats;3.476000;2461340;36;921
pyquiz_2012-03_thp9_yield.stats;3.505000;2440952;31;828
pyquiz_2012-03_thp.stats;11.773000;18640056;41;879
pyquiz_2012-03_thp2.stats;16.865000;21839256;22;649
pyquiz_2012-03_thp_golf_precomputed.stats;18.940000;24160293;6;364
pyquiz_2012-03_thp_golf.stats;24.741000;24959858;6;398
pyquiz_2012-03_thp3_commented.stats;25.163000;24959857;31;1330
pyquiz_2012-03_thp3_py3_golf.stats;25.184000;24959857;6;422
pyquiz_2012-03_thp3.stats;25.338000;24959857;16;503
pyquiz_2012-03_thp3_py3.stats;26.673000;24959857;16;525
pyquiz_2012-03_thp4_commented.stats;30.376000;29734956;39;1102
pyquiz_2012-03_thp4_golf.stats;31.026000;35193157;12;401
pyquiz_2012-03_thp4.stats;45.766000;51988956;9;427
pyquiz_2012-03_thp7_golf.stats;51.060000;25595787;11;312
pyquiz_2012-03_thp6_golf_py3.stats;66.452000;38392587;11;362
pyquiz_2012-03_thp6_golf.stats;66.617000;38392587;11;337
pyquiz_2012-03_thp5_golf.stats;71.480000;38392587;12;347
